Account Name,Domain,Industry Category,Score,Funding Stage/Recent Funding,Reason for Inclusion,Specific Pain Point / Trigger,Strategic Alignment,Budget Signal
George Mason University,gmu.edu,Higher Education - Regional University,9,Established (40K+ students),"Fast-growing regional university in DC area with expanding online MBA and graduate programs, strong business school","Online program expansion, need for affordable textbook access for growing online student population, accessibility requirements","Matches Perlego's University of Liverpool/Westcliff partnerships, regional university expanding digital offerings","40K+ students, growing online programs, DC area premium market"
Florida International University,fiu.edu,Higher Education - Regional University,9,Established (56K+ students),"Second-largest university in Florida with 56K students, strong business school, expanding online and executive education","Large student population needs affordable textbook access, Hispanic-serving institution with accessibility focus, online program growth","Perfect fit for Perlego's accessibility focus and cost reduction value prop, similar to existing partners","56K students, one of largest US universities, growing online offerings"
San Diego State University,sdsu.edu,Higher Education - Regional University,8,Established (36K+ students),"Major California state university with 36K students, business school with exec ed programs, expanding online offerings","California students face high textbook costs, diverse student population needs accessibility features, online program expansion","California market expansion opportunity, business school fit, student affordability focus aligns with Perlego mission","36K students, California premium market, business school with exec ed"
Rochester Institute of Technology,rit.edu,Higher Education - Technical University,8,Established (19K+ students),"Strong technical/business programs, known for co-op model, expanding online graduate programs, focus on accessibility (deaf students)","Known leader in accessibility (National Technical Institute for the Deaf), expanding online tech/business programs, co-op students need flexible access","Accessibility leadership perfect match for Perlego's features (Open Dyslexic, Beeline Reader), tech-forward institution, business programs","19K students, $1B+ endowment, accessibility innovation leader"
DePaul University,depaul.edu,Higher Education - Private University,8,Established (22K+ students),"Largest Catholic university in US, strong business school in Chicago, growing online and adult learner programs","Adult learner focus (working professionals), Chicago market, business school with exec ed, cost-conscious student population","Adult/professional learner focus matches Perlego's SMB training expansion, business school alignment, urban market","22K students, Chicago premium market, strong business/professional programs"
Fordham University,fordham.edu,Higher Education - Private University,8,Established (16K+ students),"NYC-based Jesuit university with strong business school (Gabelli), expanding online MBA and exec ed programs","NYC premium market, business school expansion, working professional focus, expensive textbook market","NYC location, business school fit, exec ed expansion aligns with Perlego's business school partnerships","16K students, NYC market, Gabelli Business School, exec ed growth"
Rutgers Business School,business.rutgers.edu,Higher Education - Business School,9,Public University (50K+ total),"Rutgers Business School expanding exec ed and online programs, New Jersey/NYC market, focus on professional development","Exec ed expansion mentioned in research, NYC metro market, professional development focus, need for affordable business content","Direct business school fit, exec ed expansion, matches Perlego's Hult/Luiss Business School partnerships","50K+ Rutgers students, exec ed program growth, NYC metro market"
Emory University Goizueta Business School,goizueta.emory.edu,Higher Education - Business School,8,Private University (14K+ total),"Top 20 business school expanding exec ed programs, Atlanta market, focus on leadership development","Exec ed expansion, premium business school content needs, Atlanta market growth, working professional programs","Business school exec ed fit, premium content needs match Perlego's publisher partnerships (9K+ publishers)","14K Emory students, top 20 business school, exec ed growth, $13B endowment"
Penn State Smeal College of Business,smeal.psu.edu,Higher Education - Business School,9,Public University (90K+ total),"Launching new working professional program Fall 2025 (from research), need for flexible learning resources","Specific trigger: Fall 2025 working professional program launch, need for flexible access to business content, large alumni base","Perfect timing trigger, working professional focus matches Perlego's flexibility value prop, large scale opportunity","90K Penn State students, new program launching Fall 2025, large alumni network"
University of Miami Herbert Business School,herbert.miami.edu,Higher Education - Business School,8,Private University (19K+ total),"Miami-based business school with growing exec ed and online programs, focus on Latin America connections","Exec ed programs, Miami market, international student focus (Latin America), need for diverse business content access","International focus matches Perlego's global expansion (9 countries), exec ed fit, Miami growth market","19K students, $1.2B+ endowment, exec ed programs, Latin America focus"
Southern New Hampshire University,snhu.edu,Higher Education - Online University,10,Established (165K+ students),"Largest online university in US with 165K+ students (90%+ online), focus on adult learners and affordability","Massive online student base, affordability mission aligns with Perlego, adult learner focus, accessibility needs at scale","Perfect fit: largest online university, affordability focus, adult learners match Perlego's SMB training expansion","165K students (90%+ online), affordability mission, adult learner focus, scale opportunity"
Western Governors University,wgu.edu,Higher Education - Online University,10,Non-profit (150K+ students),"Competency-based online university with 150K+ students, focus on working adults, affordable tuition model","Competency-based learning needs flexible content access, working adult focus, affordability mission, 100% online","Working adult focus, affordability mission perfect fit, 100% online = digital-first, competency model needs diverse content","150K students (100% online), competency-based model, working adult focus"
Liberty University Online,liberty.edu,Higher Education - Online University,9,Private University (100K+ online),"One of largest Christian universities with 100K+ online students, growing business and professional programs","Massive online enrollment, diverse program offerings, need for affordable textbook alternatives, religious institution budget consciousness","Large online scale, diverse programs including business, affordability focus matches mission, growth trajectory","100K+ online students, one of largest online programs, business/professional programs"
Campus (formerly Unibuddy),campus.co,EdTech - Higher Education Platform,10,Series B ($46M - March 2025),"Just raised $46M Series B in March 2025, transforming affordable higher ed with online instruction from top universities","Recent $46M funding = expansion mode, focus on affordable higher education, online instruction platform, growth trajectory","Recent funding trigger, affordability mission aligns, platform partnership opportunity, scaling phase with budget","$46M Series B March 2025, $100M+ total funding, affordable higher ed focus, growth mode"
Unmudl (by SocialTech.ai),unmudl.com,EdTech - Community College Platform,9,Venture-backed,"Course-to-job marketplace for 64.5M community college students, focus on skill-driven non-degree learning","Serves 64.5M community college students, skills-based learning focus, affordability focus, emerging platform needing content","Community college focus = affordability-conscious, skills-based learning matches Perlego's SMB training, large addressable market","64.5M addressable market, skills-based focus, community college partnerships"
Coursera for Campus,coursera.org/campus,EdTech - University Partnerships,8,Public Company (150M+ learners),"Coursera offers B2B Campus solution for universities, 250+ university partners, expanding degree programs","University licensing model similar to Perlego, 250+ partners = established B2B motion, degree program expansion","Direct competitor or partnership opportunity, B2B campus model validates market, could complement with textbook access","150M+ learners, 250+ university partners, public company resources, degree programs"
Guild Education,guildeducation.com,EdTech - Corporate Learning,10,Series E ($278M total),"Employer-sponsored education platform, partners with 2K+ companies, focus on upskilling/tuition assistance programs","Corporate L&D platform serving 2K+ employers, education benefit focus, upskilling market = Perlego's SMB expansion target","Perfect corporate L&D fit, employer-sponsored education matches Perlego's SMB training focus, established B2B model","$278M total funding, 2K+ employer clients, corporate education benefits market"
Degreed,degreed.com,EdTech - Corporate Learning,9,Series D ($153M total),"Skills-based learning platform for enterprises, upskilling focus, serves Fortune 500, learning content aggregation","Enterprise L&D platform, content aggregation model similar to Perlego, upskilling focus, skills-based learning trend","Corporate learning aggregation model, skills focus, could integrate Perlego's academic content for professional development","$153M funding, enterprise clients, skills-based learning, upskilling focus"
Accenture,accenture.com,Professional Services - Consulting,8,Public Company (738K employees),"738K employees globally, massive L&D investment, acquired Udacity 2024, focus on AI/tech upskilling","Acquired Udacity in 2024 = L&D strategy focus, 738K employees need upskilling, consulting knowledge workers, professional development focus","Large consulting workforce needs continuous learning, Udacity acquisition shows L&D priority, professional content needs","738K employees, acquired Udacity 2024, global consulting firm, massive L&D budget"
Deloitte University,deloitte.com,Professional Services - Consulting,9,Public Company (457K employees),"Deloitte University corporate academy, 457K employees, heavy L&D investment, corporate academies trend, upskilling focus","Corporate academy model, 457K employees globally, professional development focus, 73% of orgs prioritizing upskilling","Professional services = knowledge workers needing continuous learning, corporate academy model, business/professional content needs","457K employees, Deloitte University corporate academy, L&D leader, professional services"
Grant Thornton,grantthornton.com,Professional Services - Accounting,8,Private (10K+ US employees),"Mid-market accounting/consulting firm, 10K+ US employees, professional development requirements (CPE credits)","Mid-market firm = cost-conscious, 10K+ employees need CPE/professional development, accounting/business content focus","Mid-market sweet spot, professional development requirements, accounting/business content, cost-conscious vs. Big 4","10K+ US employees, mid-market leader, CPE requirements, professional development needs"
Baker Tilly,bakertilly.com,Professional Services - Accounting,8,Private (6K+ US employees),"Mid-market accounting/consulting firm, 6K+ employees, focus on advisory services, professional development needs","Mid-market firm, advisory services growth = need for business/professional development content, CPA requirements","Mid-market focus, advisory expansion, professional development, accounting/business content needs, cost-conscious","6K+ US employees, advisory services focus, mid-market, professional development requirements"
Kaiser Permanente,kaiserpermanente.org,Healthcare - Integrated System,9,Non-profit (310K employees),"310K employees, largest integrated healthcare system, massive continuing education requirements, clinical and business training","310K workforce needs continuing education, healthcare professionals require ongoing training, business training for administrators","Healthcare = continuous learning requirements, massive scale, clinical AND business training needs, non-profit budget conscious","310K employees, largest integrated system, continuing education requirements, L&D budget"
Cleveland Clinic,clevelandclinic.org,Healthcare - Hospital System,8,Non-profit (77K employees),"Top-ranked hospital system, 77K employees, medical education leader, continuing education requirements, professional development","77K healthcare workers, continuing medical education requirements, ranked #2 hospital, professional development culture","Healthcare continuing education needs, medical AND business content, professional development leader, premium institution","77K employees, top-ranked hospital, continuing education leader, medical education focus"
JPMorgan Chase,jpmorganchase.com,Financial Services,8,Public Company (310K employees),"310K employees, financial services training requirements (FINRA, compliance), professional development programs","Regulatory training requirements (FINRA, compliance), 310K employees, finance/business content needs, upskilling focus","Financial services = mandatory training requirements, business/finance content needs, large scale, regulatory compliance","310K employees, financial services regulations, compliance training requirements, L&D investment"